File ID,English_name,Vocalization_type,Quality,Time,Date,X,Y
402254,Rose-crested Blue Pipit,call,no score,13:30,2/8/2018,49,63
406171,Rose-crested Blue Pipit,call,A,7:48,6/7/2017,125,133
405901,Rose-crested Blue Pipit,call,A,12:00,2/8/2018,58,76
405548,Rose-crested Blue Pipit,song,A,11:00,3/10/2018,55,125
401782,Rose-crested Blue Pipit,song,A,6:00,6/29/2008,129,123
401720,Rose-crested Blue Pipit,call,A,13:00,12/28/2016,132,121
401719,Rose-crested Blue Pipit,call,A,13:00,12/28/2016,106,107
387404,Rose-crested Blue Pipit,call,A,10:00,9/18/2017,149,115
377874,Rose-crested Blue Pipit,song,A,7:43,6/11/2000,134,118
368493,Rose-crested Blue Pipit,call,A,12:47,3/13/2017,89,131
368492,Rose-crested Blue Pipit,call,A,12:45,3/13/2017,141,124
364567,Rose-crested Blue Pipit,song,A,7:00,4/14/2017,124,121
353709,Rose-crested Blue Pipit,call,A,?,10/8/2016,127,119
351273,Rose-crested Blue Pipit,call,A,13:00,1/17/2017,146,114
299736,Rose-crested Blue Pipit,call,A,8:29,5/31/2015,131,133
298739,Rose-crested Blue Pipit,call,A,15:00,1/9/2016,124,116
293916,Rose-crested Blue Pipit,call,A,9:01,6/5/2015,147,117
293914,Rose-crested Blue Pipit,song,A,7:19,6/5/2015,142,114
277989,Rose-crested Blue Pipit,song,A,20:31,5/26/2015,159,117
277952,Rose-crested Blue Pipit,song,A,15:34,5/26/2015,128,116
233383,Rose-crested Blue Pipit,call,A,11:19,3/15/2015,142,114
225347,Rose-crested Blue Pipit,call,A,7:23,3/15/2015,163,117
181907,Rose-crested Blue Pipit,call,A,17:00,3/13/2014,123,110
176636,Rose-crested Blue Pipit,song,A,7:40,6/6/2013,121,132
164501,Rose-crested Blue Pipit,song,A,17:30,5/3/1993,131,120
164204,Rose-crested Blue Pipit,song,A,6:00,4/30/2012,151,154
163385,Rose-crested Blue Pipit,call,A,15:27,1/5/2014,152,154
162569,Rose-crested Blue Pipit,call,A,6:00,5/26/2013,75,142
162567,Rose-crested Blue Pipit,call,A,17:50,5/25/2013,34,134
162566,Rose-crested Blue Pipit,call,A,21:18,5/25/2013,142,121
162564,Rose-crested Blue Pipit,song,A,21:53,5/25/2013,35,145
162563,Rose-crested Blue Pipit,song,A,21:05,5/25/2013,116,108
